               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12384,            0.041991,                   0,           0.0023722,             0.16667,            0.013508,           0.0013508,             0.12658,            0.036122,                   0,              0.0982,              0.0002,              0.0002
                   1,             0.12742,            0.038581,                   0,           0.0028005,             0.16667,            0.018235,           0.0018235,             0.12518,            0.035753,                   0,            0.095498,          0.00049752,          0.00049752
                   2,             0.12069,            0.044065,                   0,            0.002529,             0.16667,            0.021498,           0.0022521,             0.12298,            0.035805,                   0,            0.092792,          0.00079208,          0.00079208
                   3,             0.11938,            0.039109,                   0,           0.0042957,             0.16667,            0.025421,           0.0027992,             0.11847,            0.036229,                   0,            0.090084,           0.0010837,           0.0010837
                   4,             0.11503,            0.044779,                   0,            0.015904,             0.33333,             0.04469,           0.0047801,             0.11447,            0.036665,                   0,            0.087372,           0.0013723,           0.0013723
                   5,             0.11433,            0.040677,                   0,            0.042529,             0.66667,            0.093849,             0.01469,             0.10705,            0.037066,                   0,            0.084658,           0.0016579,           0.0016579
                   6,             0.10346,            0.043787,                   0,            0.051827,             0.66667,             0.12935,            0.026893,            0.099127,            0.037707,                   0,            0.081941,           0.0019406,           0.0019406
                   7,             0.10229,            0.042916,                   0,               0.051,             0.80635,            0.095236,            0.033125,             0.09355,            0.037949,                   0,             0.07922,           0.0022203,           0.0022203
                   8,            0.096957,             0.04044,                   0,             0.21361,             0.66667,             0.32764,            0.067898,            0.091083,            0.037765,                   0,            0.076497,            0.002497,            0.002497
                   9,            0.096669,            0.044432,                   0,              0.1869,                 0.5,              0.2355,            0.086009,            0.088582,            0.037419,                   0,            0.073771,           0.0027708,           0.0027708
                  10,            0.098617,            0.049262,                   0,             0.37704,                 0.5,              0.4425,             0.17128,            0.084971,            0.037387,                   0,            0.071042,           0.0030416,           0.0030416
                  11,            0.090307,            0.032896,                   0,             0.46868,                 0.5,              0.5102,             0.18926,            0.082708,            0.037151,                   0,            0.068309,           0.0033094,           0.0033094
                  12,            0.088872,            0.042788,                   0,             0.47702,             0.33333,             0.56289,             0.25014,             0.07974,            0.036529,                   0,            0.065574,           0.0035743,           0.0035743
                  13,            0.086616,            0.040868,                   0,             0.70163,             0.40327,             0.60125,             0.26857,             0.07661,            0.036083,                   0,            0.062836,           0.0038362,           0.0038362
                  14,            0.085238,            0.035578,                   0,             0.70163,             0.40327,             0.60125,             0.26857,             0.07661,            0.036083,                   0,            0.060095,           0.0040951,           0.0040951
                  15,            0.083539,            0.042571,                   0,             0.52985,             0.38308,             0.63534,             0.21305,            0.071648,            0.036168,                   0,            0.057351,            0.004351,            0.004351
                  16,             0.08202,            0.036023,                   0,                   1,              0.6256,             0.80627,             0.31971,            0.077281,            0.033647,                   0,            0.054604,            0.004604,            0.004604
                  17,            0.066649,            0.038269,                   0,                   1,              0.6256,             0.80627,             0.31971,            0.077281,            0.033647,                   0,            0.051854,            0.004854,            0.004854
                  18,            0.080369,             0.05072,                   0,             0.85481,             0.66667,               0.845,             0.32662,            0.072493,            0.033736,                   0,            0.049101,            0.005101,            0.005101
                  19,             0.07645,            0.045533,                   0,             0.21942,             0.66667,             0.21063,            0.042802,            0.073439,            0.034051,                   0,            0.046345,           0.0053451,           0.0053451
                  20,            0.076241,            0.046752,                   0,             0.21942,             0.66667,             0.21063,            0.042802,            0.073439,            0.034051,                   0,            0.043586,           0.0055862,           0.0055862
                  21,            0.074742,             0.03486,                   0,             0.63607,             0.16667,             0.25591,            0.036426,            0.074948,            0.032593,                   0,            0.040824,           0.0058243,           0.0058243
                  22,            0.080868,            0.040134,                   0,             0.63607,             0.16667,             0.25591,            0.036426,            0.074948,            0.032593,                   0,            0.038059,           0.0060595,           0.0060595
                  23,            0.080187,            0.042398,                   0,                   1,             0.32981,             0.47099,             0.15905,            0.068526,            0.030299,                   0,            0.035292,           0.0062917,           0.0062917
                  24,            0.069036,              0.0295,                   0,                   1,             0.32981,             0.47099,             0.15905,            0.068526,            0.030299,                   0,            0.032521,           0.0065209,           0.0065209
                  25,            0.077445,              0.0443,                   0,             0.93521,             0.33333,             0.42767,            0.071004,             0.07419,            0.028033,                   0,            0.029747,           0.0067471,           0.0067471
                  26,            0.075682,            0.039006,                   0,             0.93521,             0.33333,             0.42767,            0.071004,             0.07419,            0.028033,                   0,             0.02697,           0.0069704,           0.0069704
                  27,            0.075461,            0.038195,                   0,             0.66272,             0.66667,             0.69027,             0.29687,            0.071578,            0.025702,                   0,            0.024191,           0.0071907,           0.0071907
                  28,            0.072226,             0.03207,                   0,             0.66272,             0.66667,             0.69027,             0.29687,            0.071578,            0.025702,                   0,            0.021408,            0.007408,            0.007408
                  29,            0.072566,            0.047755,                   0,             0.66272,             0.66667,             0.69027,             0.29687,            0.071578,            0.025702,                   0,            0.018622,           0.0076224,           0.0076224
                  30,            0.060114,            0.027869,                   0,             0.51286,             0.66667,             0.66662,             0.29458,            0.067193,            0.025074,                   0,            0.015834,           0.0078338,           0.0078338
                  31,            0.066488,            0.036747,                   0,             0.51286,             0.66667,             0.66662,             0.29458,            0.067193,            0.025074,                   0,            0.013042,           0.0080422,           0.0080422
                  32,            0.069153,            0.036319,                   0,             0.32642,             0.83333,             0.43807,             0.28545,            0.070479,            0.024169,                   0,            0.010248,           0.0082477,           0.0082477
                  33,            0.070503,            0.036545,                   0,             0.32642,             0.83333,             0.43807,             0.28545,            0.070479,            0.024169,                   0,           0.0083665,           0.0083665,           0.0083665
                  34,            0.073729,            0.031452,                   0,             0.32642,             0.83333,             0.43807,             0.28545,            0.070479,            0.024169,                   0,           0.0083665,           0.0083665,           0.0083665
                  35,            0.071545,            0.025998,                   0,              0.9385,                 0.5,             0.76083,             0.24496,            0.077483,            0.024367,                   0,            0.008317,            0.008317,            0.008317
                  36,            0.070716,            0.027775,                   0,              0.9385,                 0.5,             0.76083,             0.24496,            0.077483,            0.024367,                   0,           0.0082675,           0.0082675,           0.0082675
                  37,            0.076197,            0.043109,                   0,              0.9385,                 0.5,             0.76083,             0.24496,            0.077483,            0.024367,                   0,            0.008218,            0.008218,            0.008218
                  38,            0.070037,            0.029044,                   0,             0.53941,             0.83333,              0.7875,             0.32907,            0.064874,            0.025072,                   0,           0.0081685,           0.0081685,           0.0081685
                  39,            0.065816,            0.031102,                   0,             0.53941,             0.83333,              0.7875,             0.32907,            0.064874,            0.025072,                   0,            0.008119,            0.008119,            0.008119
                  40,            0.069298,            0.031919,                   0,             0.99014,                 0.5,             0.76659,             0.26787,             0.06415,            0.025441,                   0,           0.0080695,           0.0080695,           0.0080695
                  41,            0.065728,            0.031253,                   0,             0.99014,                 0.5,             0.76659,             0.26787,             0.06415,            0.025441,                   0,             0.00802,             0.00802,             0.00802
                  42,            0.066324,             0.03462,                   0,             0.99014,                 0.5,             0.76659,             0.26787,             0.06415,            0.025441,                   0,           0.0079705,           0.0079705,           0.0079705
                  43,            0.066164,            0.028875,                   0,             0.92566,             0.83333,             0.92227,             0.44486,            0.057529,            0.024975,                   0,            0.007921,            0.007921,            0.007921
                  44,            0.064992,            0.026393,                   0,             0.92566,             0.83333,             0.92227,             0.44486,            0.057529,            0.024975,                   0,           0.0078715,           0.0078715,           0.0078715
                  45,            0.061768,            0.032166,                   0,             0.92566,             0.83333,             0.92227,             0.44486,            0.057529,            0.024975,                   0,            0.007822,            0.007822,            0.007822
                  46,            0.057852,            0.023921,                   0,              0.9433,             0.83333,               0.955,                0.43,            0.055749,             0.02498,                   0,           0.0077725,           0.0077725,           0.0077725
                  47,            0.059004,            0.031909,                   0,              0.9433,             0.83333,               0.955,                0.43,            0.055749,             0.02498,                   0,            0.007723,            0.007723,            0.007723
                  48,            0.060193,            0.029551,                   0,                   1,              0.6525,             0.85852,             0.38434,            0.055274,            0.024204,                   0,           0.0076735,           0.0076735,           0.0076735
                  49,            0.061984,            0.037669,                   0,                   1,              0.6525,             0.85852,             0.38434,            0.055274,            0.024204,                   0,            0.007624,            0.007624,            0.007624
                  50,            0.060341,            0.022851,                   0,                   1,              0.6525,             0.85852,             0.38434,            0.055274,            0.024204,                   0,           0.0075745,           0.0075745,           0.0075745
                  51,            0.064647,            0.026045,                   0,             0.70792,             0.66667,             0.78457,              0.3088,            0.067635,            0.022098,                   0,            0.007525,            0.007525,            0.007525
                  52,            0.066975,            0.029954,                   0,             0.70792,             0.66667,             0.78457,              0.3088,            0.067635,            0.022098,                   0,           0.0074755,           0.0074755,           0.0074755
                  53,             0.06545,            0.025007,                   0,             0.70792,             0.66667,             0.78457,              0.3088,            0.067635,            0.022098,                   0,            0.007426,            0.007426,            0.007426
                  54,            0.065206,            0.028628,                   0,             0.93776,             0.83333,             0.88833,             0.40464,            0.060995,            0.021799,                   0,           0.0073765,           0.0073765,           0.0073765
                  55,            0.062114,            0.029113,                   0,             0.93776,             0.83333,             0.88833,             0.40464,            0.060995,            0.021799,                   0,            0.007327,            0.007327,            0.007327
                  56,            0.062365,            0.029462,                   0,                   1,             0.79906,               0.899,             0.47292,            0.058963,            0.021101,                   0,           0.0072775,           0.0072775,           0.0072775
                  57,             0.06432,              0.0358,                   0,                   1,             0.79906,               0.899,             0.47292,            0.058963,            0.021101,                   0,            0.007228,            0.007228,            0.007228
                  58,            0.065294,            0.027976,                   0,                   1,             0.79906,               0.899,             0.47292,            0.058963,            0.021101,                   0,           0.0071785,           0.0071785,           0.0071785
                  59,            0.063965,            0.022944,                   0,                   1,             0.45631,             0.70139,             0.32926,            0.063014,            0.020066,                   0,            0.007129,            0.007129,            0.007129
                  60,            0.062887,            0.024424,                   0,                   1,             0.45631,             0.70139,             0.32926,            0.063014,            0.020066,                   0,           0.0070795,           0.0070795,           0.0070795
                  61,            0.064026,            0.025709,                   0,                   1,             0.45631,             0.70139,             0.32926,            0.063014,            0.020066,                   0,             0.00703,             0.00703,             0.00703
                  62,            0.058088,            0.029916,                   0,             0.66902,             0.83333,             0.82627,             0.42265,            0.056368,            0.020071,                   0,           0.0069805,           0.0069805,           0.0069805
                  63,            0.058312,            0.022624,                   0,             0.66902,             0.83333,             0.82627,             0.42265,            0.056368,            0.020071,                   0,            0.006931,            0.006931,            0.006931
                  64,            0.053951,            0.029016,                   0,                   1,             0.66241,             0.90357,             0.39304,            0.058294,            0.019191,                   0,           0.0068815,           0.0068815,           0.0068815
                  65,            0.060422,            0.035511,                   0,                   1,             0.66241,             0.90357,             0.39304,            0.058294,            0.019191,                   0,            0.006832,            0.006832,            0.006832
